lat,lng,price
40.683045340255454,-73.96491945876528,25
40.77861582936026,-73.94909221848178,85
40.7458233062474,-73.99678023409928,108
40.73118644288352,-73.98855816755587,95
40.73917804272474,-74.00187485790632,95
40.71514455644585,-73.98492685696226,40
40.70529156937859,-74.00634812383952,117
40.729615321065644,-73.99932033673487,97
40.719875909217336,-73.98601944291819,180
40.70526851938713,-74.00674289211017,59
40.82320238248697,-73.95580527171072,35
40.71615366738591,-73.99538949136978,90
40.736876050098246,-73.98880933253258,88
40.71173516101818,-73.99535099583575,75
40.70913797194623,-73.95106305773496,99
40.82682884478389,-73.94546024806122,50
40.65530988094007,-73.95955972361583,55
40.71705593946306,-73.99875661781894,85
40.727645000947675,-73.98189177274575,100
40.71076595413859,-73.99663192045577,88
40.7423581890182,-74.00655694992652,180
40.752920096665186,-73.9771931302417,109
40.76328377190664,-73.983136011987,149
40.72610172741842,-74.00280802054326,145
40.722316463679796,-73.98289462664118,120
40.70774840365043,-74.00575103738647,80
40.712699044576155,-73.99583763368726,65
40.65845180263156,-73.96064157747882,60
40.72221677244204,-73.9954512654223,275
40.71959873527607,-73.98955187943692,72
40.85257336238246,-73.93127383619938,40
40.70638796238122,-74.01085626674598,77
40.738455766805,-73.92273436596219,60
40.71712501138404,-73.99487653147852,103
40.868239241160566,-73.92337067118717,65
40.660679500597816,-74.00117516210555,39
40.72319439235208,-73.992006936422,83
40.76373113028543,-73.9927069596611,79
40.66356116056505,-73.95666813301773,80
40.84621910508155,-73.83007441375044,27
40.718064607659876,-73.95787876309932,65
40.74089642391905,-73.99912661765958,132
40.73610924226003,-74.00496099423451,50
40.73429167984958,-73.98448610792377,50
40.717640605055315,-73.959444331126,96
40.78055766182092,-73.98472719071268,59
40.71727505123434,-73.99858826588155,75
40.73755842382905,-73.99857513307094,147
40.80728859692961,-73.95137523465552,80
40.720566765234764,-73.99185150925025,85
40.709514872560355,-74.01476163425455,188
40.801302877463,-73.96496703586148,56
40.66130182073049,-73.96193422199946,55
40.75397329627335,-73.97464098968295,120
40.69370451751421,-73.94961774852437,35
40.69463153495425,-73.82610233356317,38
40.68154922351078,-73.9363938020262,30
40.67849787990508,-73.96040902608149,125
40.72499140812722,-73.98766827638171,175
40.82004378145193,-73.95063403453418,40
40.71642334727555,-74.00051950513283,95
40.76917533134193,-73.9576276761765,109
40.79523415930167,-73.94762486028138,35
40.693448206076845,-73.96229057500999,50
40.68577521379964,-73.95455929888723,65
40.755710500846654,-73.99643751124552,200
40.830897875680506,-73.9456327108801,85
40.81040109269635,-73.92388134740268,22
40.68374436523716,-73.94470440054148,75
40.716566799815055,-73.96399768804723,129
40.66958570851099,-73.97900502011372,149
40.70462652432177,-74.00808242591395,199
40.6881036827473,-73.98651429464383,113
40.75575606169222,-73.96547954784155,200
40.70015530626156,-73.89929950468475,64
40.75229841220671,-73.9728792409156,215
40.80013246521013,-73.95502330179222,85
40.74967042513952,-73.99526818821035,155
40.70545651869007,-73.93020505178049,95
40.7644261133169,-73.96603230542912,205
40.73419012043805,-73.9539101432932,30
40.65065140039248,-73.96303458465796,60
40.734114958136,-73.99787332138376,120
40.845627055919216,-73.86275989126324,25
40.76454948487366,-73.99216150043927,125
40.71894521481347,-73.94231002029353,51
40.7739345894097,-73.93047426394088,34
40.81405909071373,-73.94077211384315,69
40.7992970025857,-73.96047861974597,70
40.68901940242482,-73.99516642086945,69
40.726782572859,-73.98908123052621,100
40.70809073614648,-73.95189731262039,70
40.61601550314684,-73.99943844925146,50
40.72600208257871,-73.97848090830664,95
40.71996075909372,-73.95766763571608,100
40.715787712726,-73.99240005722689,115
40.7077679819444,-74.01424344113939,117
40.76193973743531,-73.99269812086388,100
40.72367849315665,-73.98728998567046,41
40.742974228181794,-73.99831037290664,70
40.788572094687034,-73.94952290582636,100
40.73726007611966,-73.97931709009977,110
40.694494461842275,-73.99727436462526,125
40.706453049830365,-74.01144017096972,160
40.75112688717044,-73.97400219886232,176
40.76324902765593,-73.98587544588624,51
40.72238936628973,-73.99617860770786,160
40.80239573920361,-73.96717234201529,60
40.74141491022791,-74.00043750735068,150
40.71794802594738,-74.0036726362317,250
40.77960458232904,-73.97530061178173,166
40.707116487426134,-74.01016495597399,123
40.84570720882988,-73.9400724411324,60
40.68162570877781,-73.97121832025577,90
40.70503664176061,-74.01471023888335,118
40.72987254252928,-73.98889144560826,75
40.725086052762315,-73.980328248287,110
40.65061146378431,-73.95991426514294,45
40.66290883173589,-73.96257284094843,48
40.73546056019108,-74.00263137398711,79
40.78607768879754,-73.94304667761763,80
40.708206529463595,-73.9500123716706,90
40.721628731260246,-73.98714828916103,100
40.68152904350197,-73.95875937200293,100
40.68791637930195,-73.95276380358666,20
40.71429001609736,-73.98754688023578,80
40.764275436767356,-73.98169111561435,99
40.86817520021802,-73.92707940004401,75
40.7063580635322,-73.83097053947796,46
40.76422168303798,-73.98843836009445,70
40.81550571761024,-73.94916364042636,119
40.68690022400589,-73.95495577681983,34
40.77849854060922,-73.91692550879914,55
40.785309787235114,-73.95226977959743,63
40.70341680090078,-73.92828599973791,70
40.707011472547755,-73.93687093010237,36
40.70541919424318,-74.00795644103215,549
40.727318789555056,-74.00445434240909,200
40.8252656723098,-73.95000868419265,65
40.71378406871135,-73.93696499168709,29
40.76249275089385,-73.91176018596062,30
40.6833756737789,-73.94789222622416,65
40.68603817249687,-73.92445915353107,36
40.67989714184666,-73.90576243105055,90
40.68712215816094,-73.87166774565783,20
40.68077398092841,-73.93881318039485,60
40.75372124795438,-73.8812839096785,39
40.74509845772711,-73.98431550811134,275
40.74265051310203,-73.99429562826987,99
40.696909273577475,-73.98417906833848,99
40.74287858329734,-74.00202952367061,145
40.71230819983197,-73.99256849500979,140
